date,city,listing_price_yuan_sqm,mom_pct,yoy_pct,source,source_url,notes
2026-03-31,北京,62535,-0.31,-8.99,中指数据CREIS,https://finance.sina.com.cn/wm/2026-04-17/doc-inhuuimk6563549.shtml,用户截图+公开文章交叉确认
2026-03-31,上海,55075,0.08,-7.44,中指数据CREIS,https://finance.sina.com.cn/wm/2026-04-17/doc-inhuuimk6563549.shtml,用户截图+公开文章交叉确认
2026-03-31,深圳,63478,-0.16,-6.08,中指数据CREIS,https://finance.sina.com.cn/wm/2026-04-17/doc-inhuuimk6563549.shtml,用户截图+公开文章交叉确认
2026-03-31,广州,33183,-0.30,-8.80,中指数据CREIS,https://finance.sina.com.cn/wm/2026-04-17/doc-inhuuimk6563549.shtml,用户截图+公开文章交叉确认
2026-03-31,杭州,32377,-0.58,-6.13,中指数据CREIS,https://finance.sina.com.cn/wm/2026-04-17/doc-inhuuimk6563549.shtml,用户截图+公开文章交叉确认
2026-03-31,南京,25676,-0.45,-12.76,中指数据CREIS,https://finance.sina.com.cn/wm/2026-04-17/doc-inhuuimk6563549.shtml,用户截图+公开文章交叉确认
2026-03-31,天津,20311,-0.66,-10.14,中指数据CREIS,https://finance.sina.com.cn/wm/2026-04-17/doc-inhuuimk6563549.shtml,用户截图+公开文章交叉确认
2026-03-31,成都,16604,-0.38,-4.67,中指数据CREIS,https://finance.sina.com.cn/wm/2026-04-17/doc-inhuuimk6563549.shtml,用户截图+公开文章交叉确认
2026-03-31,武汉,13127,-0.72,-12.66,中指数据CREIS,https://finance.sina.com.cn/wm/2026-04-17/doc-inhuuimk6563549.shtml,用户截图+公开文章交叉确认
2026-03-31,重庆,10627,-0.43,-9.73,中指数据CREIS,https://finance.sina.com.cn/wm/2026-04-17/doc-inhuuimk6563549.shtml,重庆主城区；用户截图+公开文章交叉确认
