horizon,target,group_type,group,n,future_hit_rate_pct
6M,未来价格扩散修复,main_signal,GREEN_CANDIDATE,46,84.78260869565217
6M,未来价格扩散修复,main_signal,RED_NO_BOTTOM,57,21.052631578947366
6M,未来价格扩散修复,main_signal,YELLOW_WATCH,110,51.81818181818182
6M,未来销售同比转正,main_signal,GREEN_CANDIDATE,46,58.69565217391305
6M,未来销售同比转正,main_signal,RED_NO_BOTTOM,57,42.10526315789473
6M,未来销售同比转正,main_signal,YELLOW_WATCH,110,60.909090909090914
6M,未来价格+销售同时修复,main_signal,GREEN_CANDIDATE,46,58.69565217391305
6M,未来价格+销售同时修复,main_signal,RED_NO_BOTTOM,57,21.052631578947366
6M,未来价格+销售同时修复,main_signal,YELLOW_WATCH,110,43.63636363636363
12M,未来价格扩散修复,main_signal,GREEN_CANDIDATE,46,73.91304347826086
12M,未来价格扩散修复,main_signal,RED_NO_BOTTOM,51,25.49019607843137
12M,未来价格扩散修复,main_signal,YELLOW_WATCH,110,53.63636363636364
12M,未来销售同比转正,main_signal,GREEN_CANDIDATE,46,60.86956521739131
12M,未来销售同比转正,main_signal,RED_NO_BOTTOM,51,64.70588235294117
12M,未来销售同比转正,main_signal,YELLOW_WATCH,110,60.0
12M,未来价格+销售同时修复,main_signal,GREEN_CANDIDATE,46,60.86956521739131
12M,未来价格+销售同时修复,main_signal,RED_NO_BOTTOM,51,25.49019607843137
12M,未来价格+销售同时修复,main_signal,YELLOW_WATCH,110,48.18181818181818
